# Parte A – EMG emulado extendido | 20260422_151228
# Fs=1000 Hz | Duracion=52 s | Repeticiones=11
# Tiempo[s]	Amplitud[V]
1.119000	0.136945
1.120000	0.381872
1.121000	0.402470
1.122000	0.451391
1.123000	0.385090
1.124000	0.264719
1.125000	0.245730
1.126000	0.177498
1.127000	0.148531
1.128000	0.149175
1.129000	0.132761
1.130000	0.082552
1.131000	0.073863
1.132000	0.002734
1.133000	0.071610
1.134000	0.086415
1.135000	0.453644
1.136000	0.642248
1.137000	0.649972
1.138000	0.706939
1.139000	0.445276
1.140000	1.404064
1.141000	0.333273
1.142000	1.340338
1.143000	-0.001772
1.144000	-0.686988
1.145000	-0.471671
1.146000	-0.176536
1.147000	-0.167846
1.148000	-0.031060
1.149000	0.030735
1.150000	0.030091
1.151000	0.070966
1.152000	0.106047
1.153000	0.106047
1.154000	0.097357
1.155000	0.062598
1.156000	0.056805
1.157000	0.028160
1.158000	0.055839
1.159000	0.047149
1.160000	0.065816
1.161000	0.072575
1.162000	0.069035
1.163000	0.055839
1.164000	0.011424
1.165000	-0.071291
1.166000	-0.091246
1.167000	-0.156903
1.168000	-0.179111
1.169000	-0.177501
1.170000	-0.191985
1.171000	-0.194559
1.172000	-0.192950
1.173000	-0.243802
1.174000	-0.273412
1.175000	-0.273734
1.176000	-0.300126
1.177000	-0.320081
1.178000	-0.320402
1.179000	-0.323299
1.180000	-0.340035
1.181000	-0.346472
1.182000	-0.329092
1.183000	-0.292080
1.184000	-0.268585
1.185000	-0.243802
1.186000	-0.268907
1.187000	-0.310425
1.188000	-0.310103
1.189000	-0.382519
1.190000	-0.438843
1.191000	-0.437877
1.192000	-0.462981
1.193000	-0.482614
1.194000	-0.482614
1.195000	-0.548915
1.196000	-0.664137
1.197000	-0.673471
1.198000	-0.798348
1.199000	-0.894259
1.200000	-0.901340
1.201000	-0.950261
1.202000	-0.939318
1.203000	-0.943824
1.204000	-0.937709
1.205000	-0.924513
1.206000	-0.913248
1.207000	-0.913570
1.208000	-0.925478
1.209000	-0.903593
1.210000	-0.903593
1.211000	-0.879132
1.212000	-0.850166
1.213000	-0.854993
1.214000	-0.837935
1.215000	-0.810256
1.216000	-0.811544
1.217000	-0.775175
1.218000	-0.711127
1.219000	-0.710483
1.220000	-0.654482
1.221000	-0.567260
1.222000	-0.558892
1.223000	-0.440774
1.224000	-0.293367
1.225000	-0.238975
1.226000	-0.123753
1.227000	0.024620
1.228000	0.091242
1.229000	0.097357
1.230000	0.116990
1.231000	0.148210
1.232000	0.131473
1.233000	0.149819
1.234000	0.167521
1.235000	0.167842
1.236000	0.191981
1.237000	0.222879
1.238000	0.223200
1.239000	0.247017
1.240000	0.267937
1.241000	0.267937
1.242000	0.287892
1.243000	0.324583
1.244000	0.323295
1.245000	0.342285
1.246000	0.360308
1.247000	0.380585
1.248000	0.390884
1.249000	0.407298
1.250000	0.411482
1.251000	0.407942
1.252000	0.411804
1.253000	0.427896
1.254000	0.429184
1.255000	0.460725
1.256000	0.498703
1.257000	0.493553
1.258000	0.549877
1.259000	0.602660
1.260000	0.602338
1.261000	0.640638
1.262000	0.661880
1.263000	0.660915
1.264000	0.685054
1.265000	0.664777
1.266000	0.661559
1.267000	0.681513
1.268000	0.701790
1.269000	0.717560
1.270000	0.730434
1.271000	0.762297
1.272000	0.781608
1.273000	0.776137
1.274000	0.811540
1.275000	0.880094
1.276000	0.886531
1.277000	0.962487
1.278000	1.093480
1.279000	1.095411
1.280000	1.345166
1.281000	1.511883
1.282000	1.443330
1.283000	0.353549
1.284000	0.505784
1.285000	0.404723
1.286000	0.443667
1.287000	0.727538
1.288000	1.031685
1.289000	1.076100
1.290000	1.062904
1.291000	0.908739
1.292000	0.744596
1.293000	0.744596
1.294000	0.647397
1.295000	0.610063
1.296000	0.601695
1.297000	0.582706
1.298000	0.561785
1.299000	0.553739
1.300000	0.548912
1.301000	0.530566
1.302000	0.523485
1.303000	0.526060
1.304000	0.533463
1.305000	0.527991
1.306000	0.537647
1.307000	0.520911
1.308000	0.531854
1.309000	0.525095
1.310000	0.532819
1.311000	0.521232
1.312000	0.520911
1.313000	0.501600
1.314000	0.484542
